ClimateBin,ClimateBinR2,GlobalCropR2
1,0.593600,0.788230
2,0.552410,0.788230
3,0.532710,0.788230
4,0.680660,0.788230
5,0.762460,0.788230
6,0.714410,0.788230
7,0.725310,0.788230
8,0.273950,0.788230
9,0.238020,0.788230
10,0.329700,0.788230
11,0.553410,0.788230
12,0.604420,0.788230
13,0.567910,0.788230
14,0.839070,0.788230
15,0.735070,0.788230
16,0.735080,0.788230
17,0.740370,0.788230
18,0.716540,0.788230
19,0.683450,0.788230
20,0.387850,0.788230
21,0.448770,0.788230
22,0.617530,0.788230
23,0.758840,0.788230
24,0.677350,0.788230
25,0.726010,0.788230
26,0.779450,0.788230
27,0.878460,0.788230
28,0.932670,0.788230
29,0.928710,0.788230
30,0.126180,0.788230
31,0.569480,0.788230
32,0.777090,0.788230
33,0.722640,0.788230
34,0.748450,0.788230
35,0.839700,0.788230
36,0.929210,0.788230
37,0.962850,0.788230
38,0.967600,0.788230
39,0.914690,0.788230
40,0.185050,0.788230
41,0.564120,0.788230
42,0.844880,0.788230
43,0.725060,0.788230
44,0.780980,0.788230
45,0.806360,0.788230
46,0.832520,0.788230
47,0.948290,0.788230
48,0.956190,0.788230
49,0.772500,0.788230
50,0.229270,0.788230
51,0.514010,0.788230
52,0.681650,0.788230
53,0.842270,0.788230
54,0.901530,0.788230
55,0.899170,0.788230
56,0.947130,0.788230
57,0.959960,0.788230
58,0.850830,0.788230
59,0.565560,0.788230
60,0.181390,0.788230
61,0.430440,0.788230
62,0.693620,0.788230
63,0.959890,0.788230
64,0.948200,0.788230
65,0.847300,0.788230
66,0.629440,0.788230
67,0.535930,0.788230
68,0.551270,0.788230
69,0.525680,0.788230
70,0.238490,0.788230
71,0.476000,0.788230
72,0.649070,0.788230
73,0.848790,0.788230
74,0.874380,0.788230
75,0.742810,0.788230
76,0.701980,0.788230
77,0.630360,0.788230
78,0.564500,0.788230
79,0.528430,0.788230
80,0.266540,0.788230
81,0.542030,0.788230
82,0.801900,0.788230
83,0.854890,0.788230
84,0.920810,0.788230
85,0.846660,0.788230
86,0.728730,0.788230
87,0.530580,0.788230
88,0.513320,0.788230
89,0.565560,0.788230
90,0.508650,0.788230
91,0.479190,0.788230
92,0.325260,0.788230
93,0.503530,0.788230
94,0.487890,0.788230
95,0.266560,0.788230
96,0.229800,0.788230
97,0.302930,0.788230
98,0.217570,0.788230
99,0.424730,0.788230
100,0.442510,0.788230
