,Promedio COH,COH<2%,COH>2%
Arcilla,"0,22","0,24","0,21"
Franco arcilloso,"0,3","0,33","0,28"
Franco arenoso grueso,"0,07","0,07","0,07"
Arena fina,"0,08","0,09","0,06"
Franco arenoso fino,"0,18","0,22","0,17"
Arcilla pesada,"0,17","0,19","0,15"
Limo,"0,3","0,34","0,26"
Arena fina limosa,"0,11","0,15","0,09"
Arena limosa,"0,04","0,05","0,04"
Arena muy fina limosa,"0,39","0,44","0,25"
Arena,"0,02","0,03","0,01"
Franco arcilloso arenoso,"0,2","0,2","0,2"
Franco arenoso,"0,13","0,14","0,12"
Franco limoso,"0,38","0,41","0,37"
Arcilla limosa,"0,26","0,27","0,26"
Franco arcillos limoso,"0,32","0,35","0,3"
Arena muy fina,"0,43","0,46","0,37"
Franco arenoso muy fino,"0,35","0,41","0,33"
